slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
dai4-inflammable-s34,第4類と引火性液体（S34）,物性・化学,第4類危険物;引火性液体,物性と分類の関係を整理します。,第4類危険物;引火性液体,"[{""axis"": ""区分"", ""cols"": [""第4類危険物の基準"", ""引火性液体の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「第4類危険物＝引火性液体」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",第4類と引火性液体（S34）｜乙4,物性と分類の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,第4類危険物と引火性液体を分離;指定数量;設備基準;試験の正誤肢に注意,第4類危険物＝引火性液体;基準同一;倍数無視;試験の正誤肢に注意,「第4類危険物と引火性液体を分ける」。,第4類危険物;引火性液体,第4類危険物の要点は？,物性と分類の関係を整理します。第4類危険物の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,引火性液体との違いは？,引火性液体は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shoka-hoan-s34,消火設備区分と泡消火（S34）,火災・消火・漏えい,消火設備;消火設備の区分,消火設備の種類と適用を整理します。,消火設備;消火設備の区分,"[{""axis"": ""区分"", ""cols"": [""消火設備の基準"", ""消火設備の区分の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「消火設備＝消火設備の区分」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",消火設備区分と泡消火（S34）｜乙4,消火設備の種類と適用を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,消火設備と消火設備の区分を分離;指定数量;設備基準;試験の正誤肢に注意,消火設備＝消火設備の区分;基準同一;倍数無視;試験の正誤肢に注意,「消火設備と消火設備の区分を分ける」。,消火設備;消火設備の区分,消火設備の要点は？,消火設備の種類と適用を整理します。消火設備の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,消火設備の区分との違いは？,消火設備の区分は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
chozo-toriatsukai-s34,貯蔵所と取扱所（S34）,法令・制度,タンク貯蔵所;一般取扱所の基準,貯蔵と取扱いの基準差を整理します。,タンク貯蔵所;一般取扱所の基準,"[{""axis"": ""区分"", ""cols"": [""タンク貯蔵所の基準"", ""一般取扱所の基準の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「タンク貯蔵所＝一般取扱所の基準」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",貯蔵所と取扱所（S34）｜乙4,貯蔵と取扱いの基準差を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,タンク貯蔵所と一般取扱所の基準を分離;指定数量;設備基準;試験の正誤肢に注意,タンク貯蔵所＝一般取扱所の基準;基準同一;倍数無視;試験の正誤肢に注意,「タンク貯蔵所と一般取扱所の基準を分ける」。,タンク貯蔵所;一般取扱所の基準,タンク貯蔵所の要点は？,貯蔵と取扱いの基準差を整理します。タンク貯蔵所の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,一般取扱所の基準との違いは？,一般取扱所の基準は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
yobou-shoka-s34,予防規程と消火活動（S34）,法令・制度,予防規程;消火活動,予防と消火の役割分担を整理します。,予防規程;消火活動,"[{""axis"": ""区分"", ""cols"": [""予防規程の基準"", ""消火活動の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「予防規程＝消火活動」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",予防規程と消火活動（S34）｜乙4,予防と消火の役割分担を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,予防規程と消火活動を分離;指定数量;設備基準;試験の正誤肢に注意,予防規程＝消火活動;基準同一;倍数無視;試験の正誤肢に注意,「予防規程と消火活動を分ける」。,予防規程;消火活動,予防規程の要点は？,予防と消火の役割分担を整理します。予防規程の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,消火活動との違いは？,消火活動は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
otoshu-yoshu-s34,乙種と丙種取扱者（S34）,法令・制度,乙種危険物取扱者;丙種危険物取扱者,資格類型と取扱範囲の違いを整理します。,乙種危険物取扱者;丙種危険物取扱者,"[{""axis"": ""区分"", ""cols"": [""乙種危険物取扱者の基準"", ""丙種危険物取扱者の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「乙種危険物取扱者＝丙種危険物取扱者」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",乙種と丙種取扱者（S34）｜乙4,資格類型と取扱範囲の違いを整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,乙種危険物取扱者と丙種危険物取扱者を分離;指定数量;設備基準;試験の正誤肢に注意,乙種危険物取扱者＝丙種危険物取扱者;基準同一;倍数無視;試験の正誤肢に注意,「乙種危険物取扱者と丙種危険物取扱者を分ける」。,乙種危険物取扱者;丙種危険物取扱者,乙種危険物取扱者の要点は？,資格類型と取扱範囲の違いを整理します。乙種危険物取扱者の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,丙種危険物取扱者との違いは？,丙種危険物取扱者は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
ido-tank-s34,移動タンクと屋外タンク（S34）,法令・制度,移動タンク貯蔵所;屋外タンク貯蔵所,移動式と固定式タンクの基準差を整理します。,移動タンク貯蔵所;屋外タンク貯蔵所,"[{""axis"": ""区分"", ""cols"": [""移動タンク貯蔵所の基準"", ""屋外タンク貯蔵所の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「移動タンク貯蔵所＝屋外タンク貯蔵所」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",移動タンクと屋外タンク（S34）｜乙4,移動式と固定式タンクの基準差を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,移動タンク貯蔵所と屋外タンク貯蔵所を分離;指定数量;設備基準;試験の正誤肢に注意,移動タンク貯蔵所＝屋外タンク貯蔵所;基準同一;倍数無視;試験の正誤肢に注意,「移動タンク貯蔵所と屋外タンク貯蔵所を分ける」。,移動タンク貯蔵所;屋外タンク貯蔵所,移動タンク貯蔵所の要点は？,移動式と固定式タンクの基準差を整理します。移動タンク貯蔵所の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,屋外タンク貯蔵所との違いは？,屋外タンク貯蔵所は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
kiken-hoan-s34,危険物保安監督者選任（S34）,法令・制度,危険物保安監督者;危険物保安監督者選任,監督者選任・届出を整理します。,危険物保安監督者;危険物保安監督者選任,"[{""axis"": ""区分"", ""cols"": [""危険物保安監督者の基準"", ""危険物保安監督者選任の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「危険物保安監督者＝危険物保安監督者選任」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",危険物保安監督者選任（S34）｜乙4,監督者選任・届出を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,危険物保安監督者と危険物保安監督者選任を分離;指定数量;設備基準;試験の正誤肢に注意,危険物保安監督者＝危険物保安監督者選任;基準同一;倍数無視;試験の正誤肢に注意,「危険物保安監督者と危険物保安監督者選任を分ける」。,危険物保安監督者;危険物保安監督者選任,危険物保安監督者の要点は？,監督者選任・届出を整理します。危険物保安監督者の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,危険物保安監督者選任との違いは？,危険物保安監督者選任は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shitei-henko-s34,指定数量変更届出（S34）,法令・制度,指定数量倍数の変更届出;品名・数量・指定数量倍数の変更届出,数量変更時の届出類型を整理します。,指定数量倍数の変更届出;品名・数量・指定数量倍数の変更届出,"[{""axis"": ""区分"", ""cols"": [""指定数量倍数の変更届出の基準"", ""品名・数量・指定数量倍数の変更届出の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「指定数量倍数の変更届出＝品名・数量・指定数量倍数の変更届出」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",指定数量変更届出（S34）｜乙4,数量変更時の届出類型を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,指定数量倍数の変更届出と品名・数量・指定数量倍数の変更届出を分離;指定数量;設備基準;試験の正誤肢に注意,指定数量倍数の変更届出＝品名・数量・指定数量倍数の変更届出;基準同一;倍数無視;試験の正誤肢に注意,「指定数量倍数の変更届出と品名・数量・指定数量倍数の変更届出を分ける」。,指定数量倍数の変更届出;品名・数量・指定数量倍数の変更届出,指定数量倍数の変更届出の要点は？,数量変更時の届出類型を整理します。指定数量倍数の変更届出の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,品名・数量・指定数量倍数の変更届出との違いは？,品名・数量・指定数量倍数の変更届出は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
leak-shoka-s34,漏えいと消火活動（S34）,火災・消火・漏えい,漏えい;消火活動,漏えい対応と消火活動の違いを整理します。,漏えい;消火活動,"[{""axis"": ""区分"", ""cols"": [""漏えいの基準"", ""消火活動の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「漏えい＝消火活動」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",漏えいと消火活動（S34）｜乙4,漏えい対応と消火活動の違いを整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,漏えいと消火活動を分離;指定数量;設備基準;試験の正誤肢に注意,漏えい＝消火活動;基準同一;倍数無視;試験の正誤肢に注意,「漏えいと消火活動を分ける」。,漏えい;消火活動,漏えいの要点は？,漏えい対応と消火活動の違いを整理します。漏えいの定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,消火活動との違いは？,消火活動は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
kiken-toriatsukai-cmp-s35,危険物取扱：危険物取扱者と危険物保安監督者の比較（S35）,法令・制度,危険物取扱者;危険物保安監督者,危険物取扱（基礎整理）として危険物取扱者と危険物保安監督者の関係を整理します。,危険物取扱者;危険物保安監督者,"[{""axis"": ""区分"", ""cols"": [""危険物取扱者の基準"", ""危険物保安監督者の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「危険物取扱者＝危険物保安監督者」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",危険物取扱：危険物取扱者と危険物保安監督者の比較（S35）｜乙4,危険物取扱（基礎整理）として危険物取扱者と危険物保安監督者の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,危険物取扱者と危険物保安監督者を分離;指定数量;設備基準;試験の正誤肢に注意,危険物取扱者＝危険物保安監督者;基準同一;倍数無視;試験の正誤肢に注意,「危険物取扱者と危険物保安監督者を分ける」。,危険物取扱者;危険物保安監督者,危険物取扱者の要点は？,危険物取扱（基礎整理）として危険物取扱者と危険物保安監督者の関係を整理します。危険物取扱者の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,危険物保安監督者との違いは？,危険物保安監督者は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shobou-hou-cmp-s35,消防法：消防法と火災予防の比較（S35）,法令・制度,消防法;火災予防,消防法（基礎整理）として消防法と火災予防の関係を整理します。,消防法;火災予防,"[{""axis"": ""区分"", ""cols"": [""消防法の基準"", ""火災予防の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「消防法＝火災予防」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",消防法：消防法と火災予防の比較（S35）｜乙4,消防法（基礎整理）として消防法と火災予防の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,消防法と火災予防を分離;指定数量;設備基準;試験の正誤肢に注意,消防法＝火災予防;基準同一;倍数無視;試験の正誤肢に注意,「消防法と火災予防を分ける」。,消防法;火災予防,消防法の要点は？,消防法（基礎整理）として消防法と火災予防の関係を整理します。消防法の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,火災予防との違いは？,火災予防は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
shitei-suryo-cmp-s35,指定数量：指定数量と指定数量の倍数の比較（S35）,法令・制度,指定数量;指定数量の倍数,指定数量（基礎整理）として指定数量と指定数量の倍数の関係を整理します。,指定数量;指定数量の倍数,"[{""axis"": ""区分"", ""cols"": [""指定数量の基準"", ""指定数量の倍数の基準""]}, {""axis"": ""数量"", ""cols"": [""指定数量"", ""倍数""]}, {""axis"": ""設備"", ""cols"": [""消火設備"", ""保安設備""]}, {""axis"": ""試験"", ""cols"": [""「指定数量＝指定数量の倍数」"", ""「基準同一」""]}, {""axis"": ""混同"", ""cols"": [""届出不要"", ""設備不要""]}]",指定数量：指定数量と指定数量の倍数の比較（S35）｜乙4,指定数量（基礎整理）として指定数量と指定数量の倍数の関係を整理します。消防法・政令・品名表をセットで整理してください。数値・日程・合格基準は消防試験研究センター（https://www.shoubo-shiken.or.jp/kikenbutsu/）の試験要項で必ずご確認ください。,指定数量と指定数量の倍数を分離;指定数量;設備基準;試験の正誤肢に注意,指定数量＝指定数量の倍数;基準同一;倍数無視;試験の正誤肢に注意,「指定数量と指定数量の倍数を分ける」。,指定数量;指定数量の倍数,指定数量の要点は？,指定数量（基礎整理）として指定数量と指定数量の倍数の関係を整理します。指定数量の定義・基準を用語集で確認してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,指定数量の倍数との違いは？,指定数量の倍数は別枠です。比較表を作成してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,試験対策の進め方は？,区分表・倍数表を作成し、過去問を反復してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。,確認先はどこですか？,消防法・政令・品名表・用語集を参照してください。乙4試験では用語集と消防法・政令の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。賃管試験では用語集と条文の対応づけが得点の鍵になります。最新の試験要項もあわせて確認してください。
